month,monthString,weightString,weight,remarks
1,正月,六錢,0.6,
2,二月,七錢,0.7,
3,三月,一兩八錢,1.8,
4,四月,九錢,0.9,
5,五月,五錢,0.5,
6,六月,一兩六錢,1.6,
7,七月,九錢,0.9,
8,八月,一兩五錢,1.5,
9,九月,一兩八錢,1.8,
10,十月,八錢,0.8,
11,十一月,九錢,0.9,
12,十二月,五錢,0.5,
